title,ajg_2024,wbs_60,ft_50,subfield
Journal of Legal Studies,3,,,Law & Economics
Journal of Mathematical Economics,3,,,Micro Theory / Game Theory
Journal of Multivariate Analysis,3,,,Econometrics / Statistics
Journal of Population Economics,3,,,Population / Family
Journal of Public Economics,3,,,Public / Political Economy
Journal of Risk and Uncertainty,3,,,Behavioral / Experimental
Journal of the Association of Environmental and Resource Economists,3,,,Environmental / Energy
Journal of the Royal Statistical Society. Series A: Statistics in Society,3,,,Econometrics / Statistics
Journal of the Royal Statistical Society. Series C: Applied Statistics,3,,,Econometrics / Statistics
Journal of Time Series Analysis,3,,,Econometrics / Statistics
Journal of Urban Economics,3,,,Urban / Spatial / Transport
Labour Economics,3,,,Labor
Land Economics,3,,,Environmental / Energy
Oxford Bulletin of Economics and Statistics,3,,,Econometrics / Statistics
Oxford Economic Papers,3,,,General
Public Choice,3,,,Public / Political Economy
Real Estate Economics,3,,,Urban / Spatial / Transport
Review of Economic Dynamics,3,,,Macro / Monetary
Review of Income and Wealth,3,,,General
Scandinavian Journal of Economics,3,,,General
Scandinavian Journal of Statistics,3,,,Econometrics / Statistics
Social Choice and Welfare,3,,,Micro Theory / Game Theory
World Bank Economic Review,3,,,Development
Advances in Econometrics,2,,,Econometrics / Statistics
Agricultural Economics (United Kingdom),2,,,Agricultural
American Journal of Health Economics,2,,,Health
American Law and Economics Review,2,,,Law & Economics
Annals of Applied Statistics,2,,,Econometrics / Statistics
Annals of Economics and Finance,2,,,Regional / General
Annals of Public and Cooperative Economics,2,,,Public / Political Economy
Annual Review of Resource Economics,2,,,Environmental / Energy
Applied Economic Perspectives and Policy,2,,,General
Applied Economics,2,,,General
Australian Journal of Agricultural and Resource Economics,2,,,Environmental / Energy
B.E. Journal of Economic Analysis and Policy,2,,,General
B.E. Journal of Macroeconomics,2,,,Macro / Monetary
B.E. Journal of Theoretical Economics,2,,,Micro Theory / Game Theory
Bulletin of Economic Research,2,,,General
Canadian Journal of Agricultural Economics,2,,,Agricultural
CESifo Economic Studies,2,,,General
China Economic Review,2,,,Development
Computational Statistics,2,,,Econometrics / Statistics
Contemporary Economic Policy,2,,,General
Contributions to Political Economy,2,,,Public / Political Economy
Defence and Peace Economics,2,,,Defence / Peace
Econ Journal Watch,2,,,General
Economic Modelling,2,,,General
Economic Record,2,,,General
Economic Systems,2,,,General
Economic Systems Research,2,,,General
Economic Theory Bulletin,2,,,Micro Theory / Game Theory
Economics and Human Biology,2,,,Health
Economics and Philosophy,2,,,History / Methodology
Economics and Politics,2,,,Public / Political Economy
Economics of Education Review,2,,,Education
Economics of Innovation and New Technology,2,,,Innovation / Technology
Economics of Transition and Institutional Change,2,,,Development
Empirical Economics,2,,,Econometrics / Statistics
Environment and Development Economics,2,,,Development
European Journal of Health Economics,2,,,Health
European Journal of Political Economy,2,,,Public / Political Economy
Fiscal Studies,2,,,Public / Political Economy
GENEVA Risk and Insurance Review,2,,,Insurance / Risk
German Economic Review,2,,,Regional / General
History of Political Economy,2,,,Public / Political Economy
Information Economics and Policy,2,,,Information Economics
International Journal of Economic Theory,2,,,Micro Theory / Game Theory
International Journal of Game Theory,2,,,Micro Theory / Game Theory
International Journal of Health Economics and Management,2,,,Health
International Journal of the Economics of Business,2,,,IO / Regulation
International Review of Economics and Finance,2,,,International / Trade
International Review of Environmental and Resource Economics,2,,,Environmental / Energy
International Review of Law and Economics,2,,,Law & Economics
Journal of African Economies,2,,,Development
Journal of Agrarian Change,2,,,Agricultural
Journal of Agricultural and Resource Economics,2,,,Environmental / Energy
Journal of Applied Probability,2,,,Econometrics / Statistics
Journal of Applied Statistics,2,,,Econometrics / Statistics
Journal of Behavioral and Experimental Economics,2,,,Behavioral / Experimental
Journal of Business Economics,2,,,General
Journal of Cultural Economics,2,,,Cultural / Media
Journal of Economic Inequality,2,,,General
Journal of Economic Issues,2,,,General
Journal of Economic Methodology,2,,,History / Methodology
Journal of Economic Studies,2,,,General
Journal of Economic Surveys,2,,,General
Journal of Economics/ Zeitschrift fur Nationalokonomie,2,,,General
Journal of Evolutionary Economics,2,,,Innovation / Technology
Journal of Family and Economic Issues,2,,,General
Journal of Forest Economics,2,,,Environmental / Energy
Journal of Housing Economics,2,,,Urban / Spatial / Transport
"Journal of Industry, Competition and Trade",2,,,IO / Regulation
Journal of Institutional and Theoretical Economics,2,,,Micro Theory / Game Theory
Journal of International Development,2,,,Development
Journal of Macroeconomics,2,,,Macro / Monetary
Journal of Nonparametric Statistics,2,,,Econometrics / Statistics
Journal of Policy Modeling,2,,,Public / Political Economy
Journal of Post Keynesian Economics,2,,,History / Methodology
Journal of Productivity Analysis,2,,,Productivity
Journal of Public Economic Theory,2,,,Micro Theory / Game Theory
Journal of Regulatory Economics,2,,,IO / Regulation
Journal of Statistical Planning and Inference,2,,,Econometrics / Statistics
Journal of the Economics of Ageing,2,,,Population / Family
Journal of the Japanese and International Economies,2,,,International / Trade
Journal of Time Series Econometrics,2,,,Econometrics / Statistics
Macroeconomic Dynamics,2,,,Macro / Monetary
Managerial and Decision Economics,2,,,Behavioral / Experimental
Manchester School,2,,,General
Mathematical Social Sciences,2,,,Micro Theory / Game Theory
National Tax Journal,2,,,Public / Political Economy
Networks and Spatial Economics,2,,,Urban / Spatial / Transport
North American Journal of Economics and Finance,2,,,General
Open Economies Review,2,,,International / Trade
Oxford Development Studies,2,,,Development
Oxford Review of Economic Policy,2,,,General
Pacific Economic Review,2,,,Regional / General
PharmacoEconomics,2,,,Health
Quarterly Review of Economics and Finance,2,,,General
Rationality and Society,2,,,Sociology / Interdisciplinary
Resource and Energy Economics,2,,,Environmental / Energy
Resources Policy,2,,,Environmental / Energy
Review of Behavioral Economics,2,,,Behavioral / Experimental
Review of Development Economics,2,,,Development
Review of Economic Design,2,,,General
Review of Economics of the Household,2,,,General
Review of Environmental Economics and Policy,2,,,Environmental / Energy
Review of Industrial Organization,2,,,IO / Regulation
Review of International Economics,2,,,International / Trade
Review of Law and Economics,2,,,Law & Economics
Review of Network Economics,2,,,IO / Regulation
Review of Political Economy,2,,,Public / Political Economy
Review of World Economics,2,,,International / Trade
Scottish Journal of Political Economy,2,,,Public / Political Economy
Southern Economic Journal,2,,,General
Spatial Economic Analysis,2,,,Urban / Spatial / Transport
Stata Journal,2,,,Econometrics / Statistics
Statistics and Probability Letters,2,,,Econometrics / Statistics
Studies in Nonlinear Dynamics and Econometrics,2,,,Econometrics / Statistics
World Bank Research Observer,2,,,Development
World Economy,2,,,International / Trade
Advances in Austrian Economics,1,,,History / Methodology
Advances in Decision Sciences,1,,,Behavioral / Experimental
Agrekon,1,,,Agricultural
Agricultural and Resource Economics Review,1,,,Environmental / Energy
Annals of Economics and Statistics,1,,,Econometrics / Statistics
Applied Economic Analysis,1,,,General
Applied Economics Letters,1,,,General
Applied Health Economics and Heath Policy,1,,,Health
"Aquaculture, Economics and Management",1,,,Environmental / Energy
Asian Economic Journal,1,,,Development
Asian Economic Papers,1,,,Development
Atlantic Economic Journal,1,,,General
Australian Economic Papers,1,,,Regional / General
Australian Economic Review,1,,,Regional / General
Baltic Journal of Economics,1,,,Regional / General
Behavioural Public Policy,1,,,Behavioral / Experimental
Bulletin of Indonesian Economic Studies,1,,,General
Business Economics,1,,,General
China Agricultural Economic Review,1,,,Agricultural
China and World Economy,1,,,International / Trade
China Economic Journal,1,,,Development
Cogent Economics and Finance,1,,,Regional / General
Comparative Economic Studies,1,,,General
Computational Economics,1,,,Econometrics / Statistics
Constitutional Political Economy,1,,,Public / Political Economy
Contemporary Economics,1,,,General
Credit and Capital Markets,1,,,General
De Economist,1,,,General
Decisions in Economics and Finance,1,,,Behavioral / Experimental
Dynamic Games and Applications,1,,,Micro Theory / Game Theory
Eastern Economic Journal,1,,,General
Eastern European Economics,1,,,Regional / General
Econometrics,1,,,Econometrics / Statistics
EconomiA,1,,,Regional / General
Economia Agraria y Recursos Naturales – Agricultural and Resource Economics,1,,,Environmental / Energy
Economic Analysis and Policy,1,,,General
Economic and Social Review,1,,,General
Economic Change and Restructuring,1,,,General
Economic Issues,1,,,General
Economic Notes,1,,,General
Economic Research-Ekonomska Istraživanja,1,,,Regional / General
Economics and Business Letters,1,,,General
Economics and Sociology,1,,,Sociology / Interdisciplinary
Economics of Energy and Environmental Policy,1,,,Environmental / Energy
Economics of Governance,1,,,Governance
Economics of Transportation,1,,,Urban / Spatial / Transport
Economies,1,,,Regional / General
Economists' Voice,1,,,General
Education Economics,1,,,Education
Ekonomicheskaya Politika / Economic Policy,1,,,General
Ekonomista,1,,,Regional / General
Empirica,1,,,General
Environmental Economics and Policy Studies,1,,,Environmental / Energy
Eurasian Economic Review,1,,,Development
European Journal of Economics and Economic Policies: Intervention,1,,,History / Methodology
European Journal of Law and Economics,1,,,Law & Economics
FinanzArchiv,1,,,Regional / General
Forum for Health Economics and Policy,1,,,Health
Foundations and Trends in Econometrics,1,,,Econometrics / Statistics
Games,1,,,Micro Theory / Game Theory
Global Economic Review,1,,,Regional / General
Global Economy Journal,1,,,Regional / General
Global Journal of Emerging Market Economies,1,,,Development
Hacienda Pública Española / Review of Public Economics,1,,,Public / Political Economy
Interdisciplinary Journal of Economics and Business Law,1,,,General
Intereconomics,1,,,Regional / General
International Advances in Economic Research,1,,,Regional / General
International Economic Journal,1,,,International / Trade
International Economics,1,,,International / Trade
International Game Theory Review,1,,,Micro Theory / Game Theory
International Journal of Computational Economics and Econometrics,1,,,Econometrics / Statistics
International Journal of Ecological Economics and Statistics,1,,,Econometrics / Statistics
International Journal of Happiness and Development,1,,,Development
International Journal of Political Economy,1,,,Public / Political Economy
International Journal of Social Economics,1,,,Sociology / Interdisciplinary
International Review of Applied Economics,1,,,General
Jahrbucher fur Nationalokonomie und Statistik,1,,,Regional / General
Japan and the World Economy,1,,,International / Trade
Japanese Economic Review,1,,,Regional / General
Japanese Political Economy,1,,,Public / Political Economy
Journal for Labour Market Research,1,,,Labor
Journal of Agricultural & Applied Economics,1,,,Agricultural
Journal of Agricultural and Food Industrial Organization,1,,,IO / Regulation
Journal of Air Transport Management,1,,,Urban / Spatial / Transport
Journal of Applied Economics,1,,,General
Journal of Asian Economics,1,,,Development
Journal of Bioeconomics,1,,,Bioeconomics
Journal of Choice Modelling,1,,,Behavioral / Experimental
Journal of Competition Law & Economics,1,,,IO / Regulation
Journal of Developing Areas,1,,,Development
Journal of Econometric Methods,1,,,Econometrics / Statistics
Journal of Economic and Administrative Sciences,1,,,Regional / General
Journal of Economic and Financial Sciences,1,,,Regional / General
Journal of Economic Asymmetries,1,,,Macro / Monetary
Journal of Economic Cooperation and Development,1,,,Development
Journal of Economic Education,1,,,Education
Journal of Economic Integration,1,,,General
Journal of Economic Interaction and Coordination,1,,,General
Journal of Economic Policy Reform,1,,,General
Journal of Gambling Business and Economics,1,,,Cultural / Media
Journal of Income Distribution,1,,,General
Journal of Industrial and Business Economics,1,,,IO / Regulation
Journal of Interdisciplinary Economics,1,,,General
Journal of International Trade and Economic Development,1,,,Development
Journal of Mechanism and Institution Design,1,,,Micro Theory / Game Theory
Journal of Media Economics,1,,,Cultural / Media
Journal of the Asia Pacific Economy,1,,,Regional / General
Journal of the Economic Science Association,1,,,Behavioral / Experimental
Man and the Economy,1,,,General
Metroeconomica,1,,,General
Mineral Economics,1,,,Environmental / Energy
Montenegrin Journal of Economics,1,,,Regional / General
National Institute Economic Review,1,,,Regional / General
Natural Resources Journal,1,,,Environmental / Energy
NETNOMICS: Economic Research and Electronic Networking,1,,,IO / Regulation
New Zealand Economic Papers,1,,,Environmental / Energy
"Peace Economics, Peace Science and Public Policy",1,,,Defence / Peace
Portuguese Economic Journal,1,,,General
Post-Communist Economies,1,,,Development
PSL Quarterly Review,1,,,Regional / General
Quantitative and Qualitative Analysis in Social Sciences,1,,,Regional / General
Quantitative Finance and Economics,1,,,General
Quarterly Journal of Austrian Economics,1,,,History / Methodology
Research in Economics,1,,,General
Research in Transportation Economics,1,,,Urban / Spatial / Transport
Review of Austrian Economics,1,,,History / Methodology
Review of Economic Analysis,1,,,General
Review of Economics and Political Science,1,,,General
Review of Financial Economics,1,,,General
Review of Radical Political Economics,1,,,Public / Political Economy
Russian Journal of Economics,1,,,Regional / General
SERIEs,1,,,Regional / General
South African Journal of Economic and Management Sciences,1,,,Development
South African Journal of Economics,1,,,Development
South Asia Economic Journal,1,,,General
Statistical Analysis and Data Mining,1,,,Econometrics / Statistics
Strategic Behavior and the Environment,1,,,Environmental / Energy
Studies in Agricultural Economics,1,,,Agricultural
Studies in Economics and Finance,1,,,General
Studies in Microeconomics,1,,,Micro Theory / Game Theory
Swiss Journal of Economics and Statistics,1,,,Econometrics / Statistics
The Forum for Social Economics,1,,,History / Methodology
The Journal of Retirement,1,,,Population / Family
Tijdschrift Voor Economische en Sociale Geografie,1,,,Urban / Spatial / Transport
